path,ref,hyp
data/librispeech_test_other/sample_16.wav,the window was barred but he went to it and tried the bars one by one to find them all solidly fitted into the stone sill,the window was barred but he went to it and tried the bars one by one to find them al salidly fitted into the stone sill
data/librispeech_test_other/sample_17.wav,next moment as he felt his way about his hand touched an old fashioned marble mantelpiece fireplace chimney,next moment as he felt his way about his hand touched an old fashioned marble mantle piece fireplace chimney
data/librispeech_test_other/sample_18.wav,yes if other ways failed he could escape up the chimney,yes if other ways failed he could escape up the chimney
data/librispeech_test_other/sample_19.wav,no that was too bad he could not do that,no that was too bad he cannot do that
data/librispeech_test_other/sample_20.wav,sympathy and pity for the dwellers in the hoze were completely gone now and he set his teeth fast and mentally called himself a weak idiot for ever thinking about such people,sympathy and pity for the dwellers in the hoes were completely gone now and he set his teeth fast and mentally called himself a weak idiot for ever thinking about such people
data/librispeech_test_other/sample_21.wav,a narrow table against the wall in two places,a narrow table against the wall and two places
data/librispeech_test_other/sample_22.wav,he went and tried to force his head through recalling as he did that where a person's head would go the rest of the body would pass,he went and tried to force his head through recalling as he did that where a person's head would go the rest of the body would pass
data/librispeech_test_other/sample_23.wav,but there was no chance for his body there the head would not go first,but there was no chance for his body there the head would not go first
data/librispeech_test_other/sample_24.wav,a fellow who was shut up in prison for life might do it he said but not in a case like this,a fellow who as shut up in prison for life might doit he said but not in a case like this
data/librispeech_test_other/sample_25.wav,sure you've looked round everywhere boy yes father quite,sure you loke round everywhere boy yes father quite
data/librispeech_test_other/sample_26.wav,i'm going home to breakfast,i'm going home to breakfast
data/librispeech_test_other/sample_27.wav,shall i come too father no,shall i come to father no
data/librispeech_test_other/sample_28.wav,stop here till sir risdon comes down and tell him i'm very sorry that we should have cleared out last night only a born fool saw jerry nandy's lobster boat coming into the cove and came running to say it was a party from the cutter yes father,stop here till sir rysdon comes down and tell him i'm very sorry that we shoul have cleared out last night only a born fool saw jerry nandy's lobsterboat coming into the cove and came running to say it was a party from the cutter yes father
data/librispeech_test_other/sample_29.wav,tell him not to be uneasy tis all right and i'll have everything clear away to night,tell him not to be uneasy tis all right and i'll have everything clear away to night
data/librispeech_test_other/sample_30.wav,the dull sound of departing steps and a low whistling sound coming down through the skylight window into the cabin where archy raystoke lay with his heavy eyelids pressed down by sleep,the dull sound of departing steps and a low whistling sound coming down through the skylight window into the cabin where archy raystroke lay with his heavy eyelids pressed down by sleep
data/librispeech_test_other/sample_31.wav,what a queer dream he thought to himself,what a queer dream he thought to himself
data/librispeech_test_other/sample_32.wav,but how queer for mister gurr to be talking like that to andrew teal the boy who helped the cook,but how queer for mister gurver to be talking like that to andreuteal the boy who helped the cook
data/librispeech_test_other/sample_33.wav,and why did andy call mister gurr father,and why did andy call mister gurfather
data/librispeech_test_other/sample_34.wav,there was an interval of thinking over this knotty question during which the low whistling went on,there was an interval of thinking over this nadty question during which the low whistling went on
data/librispeech_test_other/sample_35.wav,and i'm hungry too time i was up i suppose,and i'm hungry too time i was up i suppose
data/librispeech_test_other/sample_36.wav,no he was not dreaming for he was looking out on the sea over which a faint mist hung like wreaths of smoke,no he was not dreaming for he was looking out on the sea over which a faint mist hung like reaths of smoke
data/librispeech_test_other/sample_37.wav,what did they say false alarm tell sir risdon they would clear all away to night see if anything had been left about lobster boat,what did they say false alarm tell servance and they would clear all away to night see if anything had been left about lobster wrote
data/librispeech_test_other/sample_38.wav,once out of that room he could ran and by daylight the smugglers dare not hunt him down,once out of that room he could ran and by daylight the smugglers dare not hunt him down
data/librispeech_test_other/sample_39.wav,oh those bars he mentally exclaimed and he was advancing toward them when just as he drew near there was a rustling noise under the window a couple of hands seized the bars there was a scratching of boot toes against stone work and ram's face appeared to gaze into the room by intention but into the astonished countenance of the young midshipman instead,oh those bars he mentally exclaimed and he was advancing towards them when just as he drew near there was a rustling noise under the window a couple of hands seized the bars there was a scratching of boutos against tonwork and raham's face appeared to gaze into the room by intention but into the astonished countenance of the young machipman instead
data/librispeech_test_other/sample_40.wav,ram was the first to recover from his surprise,ryhm was the first to recover from his surprise
data/librispeech_test_other/sample_41.wav,hullo he said who are you,hullo he said who are you
data/librispeech_test_other/sample_42.wav,go round and open the door i was shut in last night by mistake,go round and open the door i was shut in last night by mistake
data/librispeech_test_other/sample_43.wav,i saw you last night and wondered whose boy you was,i saw you last night and wondered whose boy he was
data/librispeech_test_other/sample_44.wav,it was you father kicked for shirking and my well i hardly knowed you,it was your father kicked for shirking and my well i hardly knowed you
data/librispeech_test_other/sample_45.wav,nonsense,nonsense
data/librispeech_test_other/sample_46.wav,won't do said ram grinning,won't do said ram grinnin
data/librispeech_test_other/sample_47.wav,think i don't know you mister orficer,think i don't know you mister orficer
data/librispeech_test_other/sample_48.wav,won't do said ram quickly i know you,weln't do said rhham quickly i know you
data/librispeech_test_other/sample_49.wav,been playing the spy that's what you've been doing who locked you in,been playing the spye that's what you've been doing who locked you in
data/librispeech_test_other/sample_50.wav,archy stepped back to the door listening but there was not a sound,arche stepped back to the door listening but there was not a sound
data/librispeech_test_other/sample_51.wav,he has gone to give the alarm thought the prisoner and he looked excitedly round for a way of escape,he has gone to give the alarm thought the prisoner and he looked excitedly round for a way of escape
data/librispeech_test_other/sample_52.wav,nothing but the chimney presented itself,nothing but the chimney presented itself
data/librispeech_test_other/sample_53.wav,a happy inspiration had come and placing one hand upon his breast he thrust in the other gave a tug and drew out his little curved dirk glanced at the edge ran to the window and began to cut at one of the bars labour in vain,a happy inspiration had come and placing one hand upon his chest he thrust in the other gave a tug and drew out his little curve dirk glanced at the edge ran to the window and began to cut at one of the bars labor in vain
data/librispeech_test_other/sample_54.wav,he divided the paint and produced a few squeaks and grating sounds as he realised that the attempt was madness,he divided the paint and produced a few squeeks ind greating sounds as he realized that the attempt was madness
data/librispeech_test_other/sample_55.wav,the result was not very satisfactory but sufficiently so to make him essay the bar of the window once more producing a grating ear assailing sound as he found that now he did make a little impression so little though that the probability was if he kept on working well for twenty four hours he would not get through,the result was not very satisfactory but sufficiently so to make him essay the bar of the window once more producing a greating irracelling sound as he found that now he did make a little impression so little though that the probability was if he kept on working well for twenty four hours he would not get through
data/librispeech_test_other/sample_56.wav,but at the end of five minutes he stopped and thrust back the dirk into its sheath,but at the end of five minutes he stopped and thrust back the dirk into i sheefh
data/librispeech_test_other/sample_57.wav,no i can't part with that ha ha ha laughed the boy jeeringly,no i can't part with that ha ha ha laughed the boy jeeringly
data/librispeech_test_other/sample_58.wav,but i'll yes i'll give you a guinea if you will let me out,but ah yes i'll give you a guiney if you will let me out
data/librispeech_test_other/sample_59.wav,guinea said the boy think i'd do it for a guinea well then two,guiney said the boy think i'll do it for her guiney well then too
data/librispeech_test_other/sample_60.wav,be quick there's a good fellow i want to get away at once,be quick there's a good fellow i want to get away at once
data/librispeech_test_other/sample_61.wav,not you only a sham,not you only a sham
data/librispeech_test_other/sample_62.wav,why your clothes don't fit you and your cap's put on all skew rew,why you'r clothes ont fit you and you'r caps put on alskiru
data/librispeech_test_other/sample_63.wav,never mind about that let me out of this place,never mind about that let me out of this place
data/librispeech_test_other/sample_64.wav,i told you a fisher boy cried archy impatiently but trying not to offend his visitor who possessed the power of conferring freedom by speaking sharply,i told you a fisher boy cried archi impatiently but trying not to offend his visitor who possessed the power of conferring freedom by speaking sharply
data/librispeech_test_other/sample_65.wav,not you look like a wild beast in a cage like a monkey you insolent,not you look like a wild beast in a cage like a monkey you insolent
data/librispeech_test_other/sample_66.wav,archy checked himself and the boy laughed,arche checked himself and the boy laughed
data/librispeech_test_other/sample_67.wav,it was your turn yesterday it's mine to day what a game,it was your turn yesterday it's mine today what a game
data/librispeech_test_other/sample_68.wav,you laughed and fleered at me when i was on the cutter's deck,you laughed and fleered at me when i was on the cutters deck
data/librispeech_test_other/sample_69.wav,i say you do look a rum un just like a big monkey in a show,i say you do look like a rumman just like a big monkey in a show
data/librispeech_test_other/sample_70.wav,ram showed his white teeth as he burst out with a long low fit of laughter,raham showed his white teeth as he burst out with a long low fit of laughter
data/librispeech_test_other/sample_71.wav,you rope's end me he said,you ropes end me he said
data/librispeech_test_other/sample_72.wav,why i could tie you up in a knot and heave you off the cliff any day what a game,why i could tie you up in the not and heave you off the cliff any day what a game
data/librispeech_test_other/sample_73.wav,bit of a middy fed on salt tack and weevilly biscuit talk of giving me rope's end,bit of a mittee fed on a saugt tack and weedly biscuit talk of giving me ropes end
data/librispeech_test_other/sample_74.wav,once more will you come and let me out no,once more will you come and let me out no
data/librispeech_test_other/sample_75.wav,to his astonishment the boy did not flinch but thrust his own arms through placing them about the middy's waist clenching his hands behind and uttering a sharp whistle,to his astonishment the boy did not flinch but thrust his own arms through placing them about the middy's waist clenching his hand behind and uttering a sharp whistle
data/librispeech_test_other/sample_76.wav,seemed in good spirits last night mister gurr eh,seem in good spirs last night mister gerr hay
data/librispeech_test_other/sample_77.wav,yes sir but he may turn up on the cliff at any moment,yes sir but you may turn up on the cliff at any moment
data/librispeech_test_other/sample_78.wav,yes men quite ready yes sir,yes men quite ready yes sir
data/librispeech_test_other/sample_79.wav,that's right of course well armed,that's right of course willamed
data/librispeech_test_other/sample_80.wav,soon as the signal comes we shall push off,soon as the signel comes we shall push off
data/librispeech_test_other/sample_81.wav,awkward bit o country sir six miles row before you can find a place to land,alkward but a country sir six miles oro before you cand find a place to land
data/librispeech_test_other/sample_82.wav,so shall we yet sir,so shall we yet sir
data/librispeech_test_other/sample_83.wav,you don't think mister gurr that they would dare to injure him if he was so unlucky as to be caught,you don't think mister ger that they would dare to injure him if he was so unlucky is to be caught
data/librispeech_test_other/sample_84.wav,well sir said the master hesitating smugglers are smugglers,well sir said the master hesitating smugglers are smugglers
data/librispeech_test_other/sample_85.wav,certainly sir smugglers are smugglers indeed,certainly sir smugglers are smugglers indeed
data/librispeech_test_other/sample_86.wav,beg pardon sir didn't mean any harm,beg pardon sir didn't mean any harm
data/librispeech_test_other/sample_87.wav,i'm getting very anxious about mister raystoke start at once sir,i'm getting very anxious about mister raystroke start at once sir
data/librispeech_test_other/sample_88.wav,no wait another half hour,no where another anda half hour
data/librispeech_test_other/sample_89.wav,very ill advised thing to do,very ill advised thing to do
data/librispeech_test_other/sample_90.wav,then i must request that you will not make it again very true,that i must request that yo will not make it again very true
data/librispeech_test_other/sample_91.wav,awk ward mister gurr awkward,awkward mister gurr awkward
data/librispeech_test_other/sample_92.wav,yes sir of course,yes sir of course
data/librispeech_test_other/sample_93.wav,say awk ward in future not awk'ard,say awkward in the future not occard
data/librispeech_test_other/sample_94.wav,i mean all alone by myself sir,i've been all alone by myself sir
data/librispeech_test_other/sample_95.wav,what for there aren't a public house for ten miles didn't mean that,what for there are to public hous for ten miles didn't mean that
data/librispeech_test_other/sample_96.wav,then what did you mean speak out and don't do the double shuffle all over my clean deck no sir,then what did jumena speak out and don't do the double shuffel all over myclein deck no sir
data/librispeech_test_other/sample_97.wav,hopping about like a cat on hot bricks,hopping about they gad cat on hut bricks
data/librispeech_test_other/sample_98.wav,now then why do you want to go ashore,now then why do you want to go ashore
data/librispeech_test_other/sample_99.wav,beg pardon didn't mean nowt sir said the sailor touching his forelock,beg pardon didn't mean nout sir said the sailor touching his for lok
data/librispeech_test_other/sample_100.wav,yes sir said the man humbly shall i go at once sir,yes sir said the man humbly shall i go at once sir
data/librispeech_test_other/sample_101.wav,no wait,lo wait
data/librispeech_test_other/sample_102.wav,keep a sharp look out on the cliff to see if mister raystoke is making signals for a boat,he ba sharp look out on the cliff to see if mister raystrope is making signals for a boat
data/librispeech_test_other/sample_103.wav,he swung round walked aft and began sweeping the shore again with his glass while the master and dick exchanged glances which meant a great deal,he swung round walked aff and began sweeping the shore again with his glass while the master and dick exchanged glances which met agree deal
data/librispeech_test_other/sample_104.wav,at last the little lieutenant could bear the anxiety no longer,at last the little lieutenant could bear the axiedy no longer
data/librispeech_test_other/sample_105.wav,pipe away the men to that boat there he said and as the crew sprang in,pip away the men to that boat there he said and as the crewsprang in
data/librispeech_test_other/sample_106.wav,now mister gurr he said i'm only going to say one thing to you in the way of instructions yes sir,now mis dergar he said i 'm only going to say one thing to you in the way of instructions yes sir
data/librispeech_test_other/sample_107.wav,beg pardon sir said the master deprecatingly,beg pardon sir said the master deprecatingly
data/librispeech_test_other/sample_108.wav,steady my lads steady cried the master keep stroke and then he began to make plans as to his first proceedings on getting ashore,steady my lad steady cried the master keep stroke and then he began to make plans as to his first proceedings on getting ashore
data/librispeech_test_other/sample_109.wav,say mester gurr said dick after one of these searches he wouldn't run away what,say mister gerk said dick after one of these searches he wouldn't run away what
data/librispeech_test_other/sample_110.wav,mister raystoke sir don't be a fool,mister raystok sir don't be a fool
data/librispeech_test_other/sample_111.wav,what chucked him off yonder,what chucdom ov yonder
data/librispeech_test_other/sample_112.wav,gurr glanced round to see if the men were looking and then said rather huskily but kindly,gur glanced round to see if the men were looking and then said lether huskily bekindly
data/librispeech_test_other/sample_113.wav,ah ejaculated dick sadly,ah ejeculated dixcidely
data/librispeech_test_other/sample_114.wav,say mester gurr sir which thankful i am to you for speaking so but you don't really think as he has come to harm,say mister gur sir which thankful i am for you for speaking so but you don't relly think as he has come to harm
data/librispeech_test_other/sample_115.wav,i hope not dick i hope not but smugglers don't stand at anything sometimes,i hope no dick i open but smungers don't stand at anything sometimes
data/librispeech_test_other/sample_116.wav,i do assure you there's nothing here but what you may see,i do assure you there is nothing heare but what you may see
data/librispeech_test_other/sample_117.wav,if you'd let me finish you'd know said gurr gruffly one of our boys is missing seen him up here,if you let me finish you no said girb roughly one of our boys is missing seen him up here
data/librispeech_test_other/sample_118.wav,boy bout seventeen with a red cap no sir indeed i've not,boy about seventeen with a red cap no sir and did ave not
data/librispeech_test_other/sample_119.wav,don't know as he has been seen about here do you said gurr looking at her searchingly no sir,don't know as he has been seen about here do you said girl looking at her searchingly no sir
data/librispeech_test_other/sample_120.wav,if she knew evil had come to the poor lad her face would tell tales like print,if she knew evil had come to the poor lad her face would tell tals like print
data/librispeech_test_other/sample_121.wav,i said a lad bout seventeen in a red cap like yours said gurr very shortly,i said a lad bout seventeen an a red captlic yours said gerevery shortly
data/librispeech_test_other/sample_122.wav,the man shook his head and stared as if he didn't half understand the drift of what was said,the man shook his head and steared as if he didn't half understand the drift of woba said
data/librispeech_test_other/sample_123.wav,here my lad where's your master,here my lad whore's your master
data/librispeech_test_other/sample_124.wav,eh i say where's your master,ned i say where's your master
data/librispeech_test_other/sample_125.wav,gurr turned away impatiently again and signing to his men to follow they all began to tramp up the steep track leading toward the hoze with the rabbits scuttling away among the furze and showing their white cottony tails for a moment as they darted down into their holes,girr turned away impatiently again and signing to his men to follow they all began to tramp up the steep track leading toward the hoes with the rapid scuddling away among the furs and showing their wigt cotony tails for a moment as they darted down into their holes
data/librispeech_test_other/sample_126.wav,i dunno muttered dick and a man can't be sure,i donknow muttered dick and im en can't be sure
data/librispeech_test_other/sample_127.wav,gurr saluted and stated his business while the baronet who had turned sallower and more careworn than his lot drew a breath full of relief one of your ship boys he said,girl saluted and stated his business while the baronett who had turned sale rand more carwine an his lot drew a breath of full of relief one of your ship boys she said
data/librispeech_test_other/sample_128.wav,a lad looking like a common sailor and wearing a red cap no said sir risdon,a lad looking like a common sailor and weare your red cap no said sir risdan
data/librispeech_test_other/sample_129.wav,i have seen no one answering to the description here,i have seen no one answering to the description here
data/librispeech_test_other/sample_130.wav,beg pardon sir but can you as a gentleman assure me that he is not here certainly said sir risdon,beg pardon sir but can you as a gentleman assure me that he is not here certainly saids sir ristmam
data/librispeech_test_other/sample_131.wav,surely cried sir risdon excitedly,surenly cried sir riston excitedly
data/librispeech_test_other/sample_132.wav,sir risdon was silent,sir richmond was silent
data/librispeech_test_other/sample_133.wav,lady graeme looked ghastly,lady graham looked gastly
data/librispeech_test_other/sample_134.wav,you do not know no,you do not know no
data/librispeech_test_other/sample_135.wav,then i took up a great stone from among the trees and coming up to him smote him therewith on the head with all my might and crushed in his skull as he lay dead drunk,then i took up a great stone from among the trees and coming up to him smote him therewith on the head with all my might and crushed in his skull as he lay dead drunk
data/librispeech_test_other/sample_136.wav,behold a ship was making for the island through the dashing sea and clashing waves,behold a ship was making for the island through the dashing sea and clashing waves
data/librispeech_test_other/sample_137.wav,hearing this i was sore troubled remembering what i had before suffered from the ape kind,hearing this i was so troubled remembering what i had before suffered from the ape kind
data/librispeech_test_other/sample_138.wav,upon this he brought me a cotton bag and giving it to me said take this bag and fill it with pebbles from the beach and go forth with a company of the townsfolk to whom i will give a charge respecting thee,upon this he brought me a cotton bag and given it to me said take this bag and fill it with pebbles from the beach and go forth with the company of the townsfolk to whom i will give a charge respecting thee
data/librispeech_test_other/sample_139.wav,do as they do and belike thou shalt gain what may further thy return voyage to thy native land,do as thy do and belike thou shalt gain what may further thy return voyage to thy knight of land
data/librispeech_test_other/sample_140.wav,then he carried me to the beach where i filled my bag with pebbles large and small and presently we saw a company of folk issue from the town each bearing a bag like mine filled with pebbles,then he carried me to the beech where i filled my bag awith pebbles large and small and presently we saw a company of folk issue from the town each bearing a bag like mine filled with pebbles
data/librispeech_test_other/sample_141.wav,to these he committed me commending me to their care and saying this man is a stranger so take him with you and teach him how to gather that he may get his daily bread and you will earn your reward and recompense in heaven,to these he committed me commending me to their care and saying this man is a stranger so take him with you and teach him how to gather that he may get his daily bread and you will earn your reward and recompense in heaven
data/librispeech_test_other/sample_142.wav,now sleeping under these trees were many apes which when they saw us rose and fled from us and swarmed up among the branches whereupon my companions began to pelt them with what they had in their bags and the apes fell to plucking of the fruit of the trees and casting them at the folk,now sleeping under these trees were many apes which when they sawr us rose and fled from us and swormed up among the branches whereupon my companions began to pelt them with what they had in their bags and the apes fell to plucking of the fruit of the trees and casting them at the folk
data/librispeech_test_other/sample_143.wav,we weighed anchor and shahrazad perceived the dawn of day and ceased saying her permitted say,we wide anchar and sherazad perceived the down of the day and ceased saying her permitted say
data/librispeech_test_other/sample_144.wav,when it was the five hundred and fifty ninth night,when it was the five hundred and fifty nineth night
data/librispeech_test_other/sample_145.wav,and ceased not sailing till we arrived safely at bassorah,and ceased not siling till we arrived siphly at pusarah
data/librispeech_test_other/sample_146.wav,there i abode a little and then went on to baghdad where i entered my quarter and found my house and foregathered with my family and saluted my friends who gave me joy of my safe return and i laid up all my goods and valuables in my storehouses,there i abode a little and then went on to bagdad where i entered my quarter and found my house and forgathered with my family and saluted my friends who gave me joy of my safe return and i laid up all my goods and valuables in my store houses
data/librispeech_test_other/sample_147.wav,after which i returned to my old merry way of life and forgot all i had suffered in the great profit and gain i had made,after which i returned to my old merry way of life and forgot all i had suffered in the great profit and gaine i had made
data/librispeech_test_other/sample_148.wav,next morning as soon as it was light he prayed the dawn prayer and after blessing mohammed the cream of all creatures betook himself to the house of sindbad the seaman and wished him a good day,next morning as soon as it was light he prayed the dorn prayer and after blessing mahammad the cream of all creatures betook himself to the house of sinbad the seamon and wished him a good day
data/librispeech_test_other/sample_149.wav,here i found a great ship ready for sea and full of merchants and notables who had with them goods of price so i embarked my bales therein,here i found a great ship ready for sea and full of merchants and notables who had with them goods of price so i embarked my bals therein
data/librispeech_test_other/sample_150.wav,haply amongst you is one righteous whose prayers the lord will accept,happily amongst you is one righthus whose prays the lord will accept
data/librispeech_test_other/sample_151.wav,presently the ship struck the mountain and broke up and all and everything on board of her were plunged into the sea,presently the ship struck the mountain and broke up and all an everything on board of her were plunged into the sea
data/librispeech_test_other/sample_152.wav,but it burneth in their bellies so they cast it up again and it congealeth on the surface of the water whereby its color and quantities are changed and at last the waves cast it ashore and the travellers and merchants who know it collect it and sell it,but it burneth in their belleys so they cast it up again and it congealeth on the surface of the water where by its color and quantities are changed and at last the waves cast it ashore and the travelers and merchants who know it collect it and sell it
data/librispeech_test_other/sample_153.wav,each that died we washed and shrouded in some of the clothes and linen cast ashore by the tides and after a little the rest of my fellows perished one by one till i had buried the last of the party and abode alone on the island with but a little provision left i who was wont to have so much,each that died we washed and shrowded in some of the clothes and linen cast a shore by the tides and after little the rest of my fellows perished one by one till i had buried the last of the party and aboade alone on the island with but a little provision left i who was wont to have so much
data/librispeech_test_other/sample_154.wav,but there is majesty and there is no might save in allah the glorious the great,but there is majesty and there is no might save in allah the glorious the great
data/librispeech_test_other/sample_155.wav,when it was the five hundred and sixty first night,when it was the five hundred and sixty first knoght
data/librispeech_test_other/sample_156.wav,then sighing for myself i set to work collecting a number of pieces of chinese and comorin aloes wood and i bound them together with ropes from the wreckage then i chose out from the broken up ships straight planks of even size and fixed them firmly upon the aloes wood making me a boat raft a little narrower than the channel of the stream and i tied it tightly and firmly as though it were nailed,then signed for myself i set to work collecting a number of pieces of chineese and cormer and allos wood and i bouned them together with ripes from the reckage then i chose out from the broken up ships straight planks of even size and fixed them firmly upon the ally's wood making me a bout raft a little narrower than the channel of the stream and i tied it tightly and firmly as though it were nailed
data/librispeech_test_other/sample_157.wav,land after land shalt thou seek and find but no other life on thy wish shall wait fret not thy soul in thy thoughts o night all woes shall end or sooner or late,land after land shalt thou see confind but no other life on thy wish shall wight fret not thy soul in thy thoughts ar not or wars shall end or sooner or light
data/librispeech_test_other/sample_158.wav,i rowed my conveyance into the place which was intensely dark and the current carried the raft with it down the underground channel,i rurried my conveyance into the place which was intensely dark and the current carried me the raft with it down the underground channel
data/librispeech_test_other/sample_159.wav,and i threw myself down upon my face on the raft by reason of the narrowness of the channel whilst the stream ceased not to carry me along knowing not night from day for the excess of the gloom which encompassed me about and my terror and concern for myself lest i should perish,and i threw myself down upon my face on the raugt by reason of the narrowness of the channel whilst the stream ceased not to carry me along nowing not night from day for the exess of the gloom which encompassed me about in my terror and concern for myself lest i should perish
data/librispeech_test_other/sample_160.wav,when i awoke at last i found myself in the light of heaven and opening my eyes i saw myself in a broad stream and the raft moored to an island in the midst of a number of indians and abyssinians,when i awoke at last i found myself in the light of heaven and opening my eyes i saw myself in a broad stream and the rauft moed to an island in the midst of a number of indians and abysinians
data/librispeech_test_other/sample_161.wav,but i was delighted at my escape from the river,but i was delihted at my escape from the river
data/librispeech_test_other/sample_162.wav,when they saw i understood them not and made them no answer one of them came forward and said to me in arabic peace be with thee o my brother,when they sawr i understood them not and made them no answer one of them came forward and said to me in arabic peace be with thee o my brother
data/librispeech_test_other/sample_163.wav,o my brother answered he we are husbandmen and tillers of the soil who came out to water our fields and plantations and finding thee asleep on this raft laid hold of it and made it fast by us against thou shouldst awake at thy leisure,o my brother answered he we are husbandman antillers of the soil who came out to water our fields and plantations and finding thee asleep on this rauft laid hold of it and made it fast by us against thou shouldest awake at thy leisure
data/librispeech_test_other/sample_164.wav,i answered for allah's sake o my lord ere i speak give me somewhat to eat for i am starving and after ask me what thou wilt,i answered for allah's sake am my lord ere i speak give me somewhat to ait for i am starving and after ask me what thou wilt
data/librispeech_test_other/sample_165.wav,when it was the five hundred and sixty second night,when it was the five hundred and sixty second night
data/librispeech_test_other/sample_166.wav,she said it hath reached me o auspicious king that sindbad the seaman continued when i landed and found myself amongst the indians and abyssinians and had taken some rest they consulted among themselves and said to one another there is no help for it but we carry him with us and present him to our king that he may acquaint him with his adventures,she said it hath reached me a auspicious king that sinber the seamon continued when i landed and found myself amongst the indians and abysinians and had taken some rest they consulted among themselves and said to one another there is no help for it but we carry him with us and present him to our king that he may acquaint him with his adventures
data/librispeech_test_other/sample_167.wav,so i consorted with the chief of the islanders and they paid me the utmost respect,so i consorted with the chief of the islanders and they paid me the utmost respect
data/librispeech_test_other/sample_168.wav,so i rose without stay or delay and kissed the king's hand and acquainted him with my longing to set out with the merchants for that i pined after my people and mine own land,so i rose without stay or delay and kissed the king's hand and acquainted him with my longing to set out with the merchants for that i pined after my people and mine own land
data/librispeech_test_other/sample_169.wav,quoth he thou art thine own master yet if it be thy will to abide with us on our head and eyes be it for thou gladdenest us with thy company,quoth he thou art thine own master yet if it be thy will to abide with us on our head and eyes be it for thou gladdenest tust with thy company
data/librispeech_test_other/sample_170.wav,by allah o my lord answered i thou hast indeed overwhelmed me with thy favours and well doings but i weary for a sight of my friends and family and native country,by alah o my lord answered i thou hast indeed overwhelmed me with thy favors and well doings but i weary for a sight of my friends and family a native country
data/librispeech_test_other/sample_171.wav,then i took leave of him and of all my intimates and acquaintances in the island and embarked with the merchants aforesaid,then i took leave of him and of all my intimates and acquaintances in the island and embarked with the merchant safforsaid
data/librispeech_test_other/sample_172.wav,he asked me whence they came and i said to him by allah o commander of the faithful i know not the name of the city nor the way thither,he asked me whence thy came and i said to him by alah a commander of the faithful i know not the name of the city nor the way tither
data/librispeech_test_other/sample_173.wav,for state processions a throne is set for him upon a huge elephant eleven cubits high and upon this he sitteth having his great lords and officers and guests standing in two ranks on his right hand and on his left,for state processions a thrown is seit for him upon a huge elephant eleven cubats high and upon this he sitteth having his great lords and officers and guests standing in two ranks on his right hand and on his left
data/librispeech_test_other/sample_174.wav,his letter hath shown me this and as for the mightiness of his dominion thou hast told us what thou hast eye witnessed,his letter hath shown me this and as for the mightiness of his dominion thou hast told us what thou hast i witnessed
